0.2362,-0.7332,-0.6377
0.2499,-0.3670,-0.8961
0.3003,-0.6261,-0.7196
-0.0516,-0.1903,-0.9804
-0.0507,-0.1849,-0.9814
-0.0571,-0.2761,-0.9594
-0.0636,-0.1337,-0.9890
-0.0356,-0.1323,-0.9906
0.1737,-0.0683,-0.9824
-0.1404,0.2013,-0.9694
0.1277,-0.1033,-0.9864
-0.0781,-0.0784,-0.9939
-0.0343,-0.0717,-0.9968
0.4970,-0.0838,-0.8637
-0.4988,0.4333,-0.7506
-0.2158,0.5827,-0.7835
0.0425,0.2797,-0.9591
-0.2054,-0.1936,-0.9593
-0.1416,-0.3031,-0.9424
0.0214,-0.2410,-0.9703
-0.1812,0.2196,-0.9586
0.0001,-0.3221,-0.9467
-0.3080,-0.4831,0.8196
-0.2051,-0.1223,0.9711
-0.3675,-0.3224,0.8723
-0.5719,0.0945,0.8149
-0.6462,-0.1570,0.7469
-0.5582,0.0028,0.8297
-0.3440,0.3909,0.8537
-0.5892,0.5218,0.6169
-0.4555,0.3278,0.8277
-0.1108,0.3365,0.9351
-0.1318,0.3781,0.9163
-0.1277,0.3731,0.9190
-0.0908,0.3639,0.9270
0.4962,0.0714,0.8653
0.0951,0.5239,0.8464
-0.1522,0.3879,0.9090
-0.1270,0.3836,0.9147
-0.1381,0.3952,0.9081
-0.0290,0.7873,0.6159
-0.0562,0.5540,0.8306
0.0436,0.6367,0.7699
0.3981,0.0025,0.9173
0.2397,0.3834,0.8919
0.4369,0.0758,0.8963
0.2183,-0.8012,-0.5571
-0.1800,-0.9797,0.0883
0.1691,-0.8027,-0.5719
-0.3517,-0.4229,-0.8351
0.0360,-0.5006,-0.8649
-0.1059,-0.6712,-0.7337
-0.5651,0.2762,0.7774
-0.8444,-0.5355,-0.0168
-0.5130,-0.0455,0.8572
-0.5182,-0.3888,0.7618
-0.6608,-0.2794,0.6966
-0.4566,0.1846,-0.8703
-0.6459,0.7626,-0.0335
-0.4717,0.6939,-0.5441
-0.4451,0.4115,-0.7953
-0.3959,0.5198,-0.7571
-0.5413,0.7468,0.3864
-0.6971,0.6457,-0.3116
-0.6823,0.6560,0.3229
-0.6485,0.4974,0.5763
-0.6765,0.6850,0.2703
-0.6699,0.6865,0.2828
-0.3950,0.4151,-0.8196
-0.4890,0.8346,-0.2537
-0.3669,0.4595,-0.8088
-0.2531,0.6199,-0.7427
-0.3314,0.5755,-0.7476
-0.0679,0.6113,0.7885
-0.3200,0.9405,-0.1145
-0.0831,0.6561,0.7501
-0.4305,0.8377,0.3359
-0.2098,0.7558,0.6203
-0.2786,0.8926,0.3544
0.0705,0.4834,-0.8725
0.2723,0.9611,0.0470
0.3830,0.5569,-0.7370
0.9351,-0.0508,-0.3508
